name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Singapore,3630377394000,0.62338% ,636011,100%,86%,13%,0%,0%,48381759,2.56%,5653634,8.56,0.14%,0.0,0.0,761679.0,761747.0,68.0,761679.0,2016,Tons ,,-761679.0,0.0,0.0,428018.0,436847.0,8829.0,428018.0,2015,Million Cubic Ft,,-428018.0,0.0,42274.0,1357000.0,1056958.0,27033.0,1029925.0,2016,Barrels,,-1314726.0
Poland,4334474486000,0.74429% ,114206,99%,30%,16%,53%,1%,296659670,2.67%,37989220,7.81,0.83%,28451723410.0,143996029.0,148799901.0,9668082.0,10339933.0,,2016,Tons ,671851.0,-4803873.0,3015000.0,217117.0,642804.0,428053.0,1978.0,426075.0,2015,Million Cubic Ft,,-425687.0,137752000.0,53367.0,582161.0,494777.0,4490.0,490287.0,2016,Barrels,,-528794.0
Argentina,3867523595000,0.66410% ,88024,87%,40%,47%,1%,13%,200708270,0.16%,43508460,4.61,0.56%,551155000.0,29318.0,1403477.0,1729270.0,1235.0,1728035.0,2016,Tons ,,-1374159.0,11142000.0,1518545.0,1659452.0,376811.0,2825.0,373986.0,2015,Million Cubic Ft,,-140907.0,2379702000.0,708770.0,709000.0,16180.0,53930.0,,2016,Barrels,37750.0,-230.0
Netherlands,3938132686000,0.67623% ,231364,95%,50%,35%,10%,5%,163419285,1.63%,16981295,9.62,0.46%,547848070.0,0.0,18203547.0,54558833.0,38116777.0,16442056.0,2016,Tons ,,-18203547.0,31702000.0,1909129.0,1408574.0,1338015.0,1799688.0,,2015,Million Cubic Ft,461673.0,500555.0,140892000.0,70128.0,937098.0,1090438.0,6585.0,1083853.0,2016,Barrels,,-866970.0
Kazakhstan,3574850089000,0.61385% ,197724,97%,18%,16%,64%,3%,231919540,1.64%,17830901,13.01,0.65%,28224647550.0,113619501.0,86633850.0,391.0,4273196.0,,2016,Tons ,4272805.0,26985651.0,85000000.0,1515014.0,480637.0,165981.0,434021.0,,2015,Million Cubic Ft,268041.0,1034376.0,30000000000.0,1698280.0,325000.0,469.0,1245575.0,,2016,Barrels,1245106.0,1373280.0
Malaysia,3515197470000,0.60360% ,113012,93%,41%,32%,20%,7%,266251542,6.54%,30684654,8.68,0.74%,198415800.0,2661820.0,33022853.0,26670879.0,415500.0,26255379.0,2016,Tons ,,-30361033.0,38284000.0,2762798.0,1119839.0,115480.0,1235672.0,,2015,Million Cubic Ft,1120192.0,1642960.0,3600000000.0,762168.0,708000.0,197489.0,390000.0,,2016,Barrels,192511.0,54168.0
United Arab Emirates,4667004234000,0.80138% ,491926,100%,39%,59%,2%,0%,218788684,4.43%,9360980,23.37,0.61%,0.0,0.0,2454173.0,2726156.0,13779.0,2712376.0,2016,Tons ,,-2454173.0,215098000.0,3178738.0,2621819.0,769972.0,273903.0,496069.0,2015,Million Cubic Ft,,556920.0,97800000000.0,3772788.0,896000.0,0.0,2487580.0,,2016,Barrels,2487580.0,2876788.0
Ukraine,3632194307000,0.62369% ,81645,73%,13%,30%,29%,27%,233220080,8.03%,44713702,5.22,0.65%,37891906250.0,39260975.0,59357189.0,17248947.0,2251110.0,14997837.0,2016,Tons ,,-20096214.0,39000000.0,670985.0,1171928.0,500943.0,0.0,500943.0,2015,Million Cubic Ft,,-500943.0,395000000.0,55832.0,244000.0,12548.0,0.0,12548.0,2016,Barrels,,-188168.0
Egypt,4012356526000,0.68897% ,41604,96%,41%,53%,2%,4%,219377350,4.72%,94447073,2.32,0.61%,17636960.0,0.0,769412.0,3337265.0,95121.0,3242144.0,2016,Tons ,,-769412.0,77200000.0,1742018.0,1692930.0,127487.0,0.0,127487.0,2015,Million Cubic Ft,,49088.0,4400000000.0,682904.0,877000.0,70411.0,240295.0,,2016,Barrels,169884.0,-194096.0
Thailand,5519011566000,0.94769% ,79743,93%,48%,33%,12%,7%,271040160,1.55%,68971308,3.93,0.76%,1171755530.0,18715682.0,42674986.0,23999601.0,39472.0,23960129.0,2016,Tons ,,-23959304.0,8415000.0,1535072.0,1876886.0,470714.0,0.0,470714.0,2015,Million Cubic Ft,,-341814.0,404890000.0,531329.0,1302000.0,875446.0,33237.0,842209.0,2016,Barrels,,-770671.0
China,138689472800000,23.8% ,97598,88%,18%,6%,63%,12%,10432751400,-0.28%,1414049351,7.38,29.18%,149818259000.0,3708155408.0,4319921826.0,281754534.0,9532676.0,272221858.0,2016,Tons ,,-611766418.0,163959000.0,4559626.0,6738152.0,2202597.0,116331.0,2086265.0,2015,Million Cubic Ft,,-2178526.0,25132122000.0,4905071.0,12791553.0,7620760.0,58812.0,7561948.0,2016,Barrels,,-7886482.0
